,SOURCE,TARGET,RATING
90,41,36,2
127,41,75,1
139,41,60,1
148,41,4,1
159,41,83,1
160,41,104,1
162,41,86,1
169,41,89,1
176,41,70,1
205,41,105,1
218,41,110,1
219,41,68,1
282,41,64,1
306,41,137,1
319,41,140,1
352,41,148,1
365,41,147,1
379,41,157,1
387,41,132,1
415,41,163,1
417,41,162,1
432,41,167,1
434,41,168,1
451,173,113,1
452,41,174,1
474,173,149,1
475,173,143,1
516,186,183,1
739,246,35,1
833,41,141,1
895,282,206,1
945,282,4,2
970,282,305,1
972,282,306,1
977,282,144,1
996,186,204,2
1030,41,233,2
1098,186,29,1
1144,41,357,2
1197,41,257,2
1199,41,372,1
1204,41,265,1
1220,41,201,1
1258,186,380,1
1333,409,353,1
1339,409,312,1
1354,414,60,5
1595,469,408,1
1640,469,256,2
1650,409,148,1
1685,186,64,1
1934,186,476,1
1938,524,359,1
2203,469,550,1
2225,186,269,2
2680,675,462,1
2822,697,144,3
2832,697,202,4
2878,697,57,1
2896,469,711,1
2962,469,592,1
2972,469,731,1
2975,186,141,1
3127,657,570,2
3211,469,535,2
3232,792,202,1
3287,808,249,1
3289,697,535,2
3519,41,859,1
3761,792,7,1
4211,1011,273,2
4300,1026,726,1
4303,469,925,1
4321,1026,489,2
4427,1026,742,1
4466,1026,937,2
4480,1026,908,10
4488,1026,1043,2
4565,1026,962,5
4661,1026,538,1
4673,186,489,1
4722,1026,832,-1
4799,469,537,1
5645,1131,801,3
5743,1011,7,3
5778,1131,1185,3
5836,1331,882,4
5839,1332,1312,1
5847,1332,1034,2
5873,1332,978,1
5875,1332,1162,1
5907,1332,502,3
5997,1332,468,1
6086,41,7,9
6214,1011,1383,1
6288,186,35,2
6322,1332,905,1
6328,41,1415,1
6389,41,1422,1
6403,41,1400,1
6496,41,1436,1
6531,41,1319,1
6535,41,729,1
6628,41,1352,1
6702,41,1384,1
6760,41,1377,2
6780,186,1376,1
6838,41,777,3
6878,41,1217,1
6890,41,1477,1
6895,41,1490,2
6917,41,1500,1
6962,41,1507,1
7002,469,1386,1
7067,41,718,1
7263,41,1512,2
7293,1568,1348,2
7295,1568,1569,2
7296,1568,1386,1
7311,469,1529,1
7335,41,1396,2
7395,1568,1598,1
7435,1568,1383,1
7436,1568,1608,1
7440,41,1585,1
7441,41,1348,1
7495,41,1386,8
7496,1568,1618,1
7511,1568,1334,1
7513,1568,1607,2
7514,1568,1585,1
7575,41,10,4
7587,41,1633,1
7624,41,1,8
7731,41,1566,3
7740,1568,1663,10
8026,1568,1707,1
8041,1568,1546,1
8068,1568,1716,1
8078,1568,1718,2
8082,1568,905,1
8178,1568,1740,1
8272,41,304,1
8282,41,1591,1
8363,41,1562,2
8670,1568,1366,1
8677,1568,1788,1
8912,1852,1771,1
9228,41,537,1
9436,41,1885,2
9581,41,1053,5
9987,2034,546,2
10017,41,1317,2
10019,41,2041,1
10128,41,540,1
10152,2034,1876,1
10158,1331,2072,5
10162,2053,2073,2
10193,41,202,2
10249,2053,57,3
10605,41,2089,1
10671,2034,266,1
10781,2053,1948,1
10931,2189,1675,1
10947,2053,1352,2
10948,2034,1334,1
10950,2053,545,2
11366,2034,1715,1
11367,2034,1521,2
11368,2034,1714,2
11371,2034,2261,-1
11410,2034,938,1
11491,2034,2187,1
11659,2034,6,1
11673,2053,1719,-10
11674,2053,61,-10
11809,2189,2067,1
11849,2034,1317,2
11857,2034,2028,5
11931,2034,2214,5
11941,2189,2337,1
12177,2373,2173,2
12183,2034,1584,1
12189,2373,2194,2
12198,2296,2072,2
12202,2034,1955,1
12479,2296,2266,2
12480,2296,1890,2
12481,2296,2393,1
12482,2296,2365,1
12483,2296,2303,1
12484,2296,2348,1
12485,2296,2344,1
12486,2296,546,1
12487,2296,729,1
12497,2296,2419,1
12583,2296,425,1
12642,2296,2346,-1
12644,2296,353,2
12737,41,2455,1
12759,2296,35,1
12760,2296,2464,1
12767,2296,2433,1
12792,2466,2028,2
12794,2466,905,1
12800,2296,2469,1
12816,2034,184,1
12858,2034,304,1
12860,2296,2198,1
12877,2296,2067,1
12884,2296,2488,1
13010,2495,35,5
13050,2034,2259,1
13051,2034,1846,1
13057,2034,1,1
13088,2296,2328,2
13096,246,2299,1
13146,2296,202,1
13220,2053,1383,-10
13269,2296,2399,1
13273,2296,2550,1
13275,2296,2548,-4
13294,2296,2485,1
13446,2495,2125,5
13471,2034,2536,1
13504,2034,2582,1
13507,2296,1757,-1
13509,2296,1765,1
13647,2296,2612,1
13687,2034,2198,1
13781,2296,2561,-10
13820,2296,2644,1
14070,2296,2684,-10
14071,2296,2680,-10
14072,2296,2682,-10
14073,2296,2683,-10
14074,2296,135,2
14075,2296,2159,1
14127,2296,2333,1
14129,2296,1885,1
14140,2296,2588,1
14302,2296,2729,1
14310,2727,2028,2
14379,2296,2405,1
14381,2296,2654,1
14386,2296,2728,1
14496,2296,1018,1
14533,41,1018,1
14584,246,2125,1
14606,2053,1331,-5
14655,2296,2397,1
14659,2296,2679,1
14737,2296,1272,1
14925,2296,2821,2
15002,2296,2794,2
15080,2296,2625,1
15088,2296,2733,1
15089,2296,2030,5
15123,2512,1899,1
15226,2296,2893,1
15275,2296,2901,1
15293,2905,1953,1
15347,2296,2725,3
15355,2296,2600,3
15441,2296,2928,1
15448,2296,2803,1
15496,2296,2937,1
15505,2296,2941,1
15635,2296,2944,2
15655,41,1810,1
15673,41,2805,1
15698,2296,304,4
15830,2296,2942,1
15868,2296,2590,1
15943,2296,2563,1
15971,2296,2609,2
15977,2296,2929,-1
16014,2296,2969,1
16136,2296,2934,1
16249,41,3598,2
16405,2296,2763,2
16442,41,2063,1
16467,2296,3114,1
16629,2296,3145,1
16734,2905,3018,10
