Article,Best Topic,Likelihood,Keywords
0,11,0.470863599677159,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
1,6,0.16748768472906406,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
2,5,0.2658730158730159,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
3,4,0.25873015873015875,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
4,6,0.24966370729082596,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
5,9,0.4694603174603175,"spokesman, state, today, official, source, government, ship, strike, work, day"
6,0,0.17952635599694422,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
7,6,0.19642857142857145,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
8,5,0.24186507936507937,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
9,12,0.2658294086865516,"buy, analyst, firm, market, investment, sell, give, make, base, add"
10,0,0.20441870441870444,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
11,13,0.3469540969540969,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
12,5,0.144973544973545,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
13,4,0.21336286452565523,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
14,11,0.2536075036075036,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
15,10,0.1761148904006047,"share, stock, company, common, dividend, acquire, record, shareholder, cash, pay"
16,3,0.20944135229849523,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
17,12,0.19710669077757684,"buy, analyst, firm, market, investment, sell, give, make, base, add"
18,11,0.29811507936507936,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
19,5,0.22763920382968006,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
20,5,0.1814954051796157,"oil, price, production, crude, increase, industry, barrel, contract, raise, gold"
21,4,0.30968577907353423,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
22,4,0.15873015873015875,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
23,13,0.1192189105858171,"rate, market, dollar, bank, exchange, currency, cut, money, yen, dealer"
24,4,0.19047619047619055,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
25,3,0.18396418396418399,"ct, loss, net, profit, dlrs, note, include, mln, gain, sale"
26,0,0.22380952380952385,"price, agreement, meeting, producer, market, talk, agree, member, coffee, set"
27,11,0.4295792391030486,"trade, official, government, japanese, country, import, foreign, industry, economic, policy"
28,4,0.13695563695563695,"rise, fall, year, growth, increase, deficit, show, figure, decline, month"
29,6,0.1782367565500096,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
30,6,0.10761366693570082,"tonne, export, wheat, import, grain, crop, program, corn, estimate, production"
